planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
301612-adquisicion-uniformes-funcionarios-institucion-1;301612-adquisicion-uniformes-funcionarios-institucion-1;301612-adquisicion-uniformes-funcionarios-institucion-1;;;301612;Adquisicion de Uniformes para Funcionarios de la Institucion;LPN - Licitación Pública Nacional;10 - Textiles, vestuarios y calzados;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;23/2/2016 10:00;tradicional;30/4/2016 00:00;30/12/2015 14:59;
300194-servicio-telefonia-celular-1;300194-servicio-telefonia-celular-1;300194-servicio-telefonia-celular-1;;;300194;Servicio de telefonía celular;CD - Contratación Directa;7 - Servicios Técnicos;Honorable Cámara de Senadores / Poder Legislativo;ADJ;Adjudicada;20/1/2016 09:00;tradicional;31/10/2015 00:00;30/12/2015 14:57;
292265-servicio-internet-fijo-movil;292265-servicio-internet-fijo-movil-1;292265-servicio-internet-fijo-movil-1;;;292265;SERVICIO DE INTERNET FIJO Y MOVIL;LPN - Licitación Pública Nacional;7 - Servicios Técnicos;Ministerio de Justicia  / Poder Ejecutivo;ADJ;Adjudicada;27/1/2016 08:00;tradicional;30/11/2015 00:00;30/12/2015 14:55;
302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;302065-adquisicion-cosechadoras-algodon-ad-referendum-2016-1;;;302065;ADQUISICIÓN DE COSECHADORAS DE ALGODÓN - AD REFERÉNDUM 2016;LPN - Licitación Pública Nacional;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Ministerio de Agricultura y Ganadería / Poder Ejecutivo;ADJ;Adjudicada;25/1/2016 09:00;tradicional;29/2/2016 00:00;30/12/2015 14:52;
301046-adquisicion-productos-alimenticios-1;301046-adquisicion-productos-alimenticios-1;301046-adquisicion-productos-alimenticios-1;;;301046;ADQUISICION DE PRODUCTOS ALIMENTICIOS;LPN - Licitación Pública Nacional;14 - Productos Alimenticios;Ministerio de Defensa Nacional / Poder Ejecutivo;ADJ;Adjudicada;25/1/2016 09:15;tradicional;31/3/2016 00:00;30/12/2015 14:46;
300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;300737-servicio-decoracion-alquileres-eventos-facultad-derecho-una-1;;;300737;Servicio de Decoración y Alquileres para Eventos para la Facultad de Derecho UNA;CD - Contratación Directa;9 - Servicios de ceremonial, gastronomico y funerarios;Facultad de Derecho y Ciencias Sociales / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;21/1/2016 09:00;tradicional;30/11/2015 00:00;30/12/2015 14:43;
301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;301681-construccion-colocacion-techo-edificio-fcea-pac-ad-referendum-1;;;301681;Construcción y Colocación de Techo para el Edificio de la FCEA - Pac Ad Referendum;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Universidad Nacional de Concepción / Universidades Nacionales;ADJ;Adjudicada;20/1/2016 09:45;tradicional;31/1/2016 00:00;30/12/2015 14:23;
299772-servicios-mantenimiento-reparacion-d-acondicionadores-aire-patrulla-caminera-1;299772-cd-n-60-2015-servicios-mantenimiento-reparacion-acondicionadores-aire-patrulla-camin-1;299772-cd-n-60-2015-servicios-mantenimiento-reparacion-acondicionadores-aire-patrulla-camin-1;;;299772;CD N° 60/2015 SERVICIOS DE MANTENIMIENTO Y REPARACION DE ACONDICIONADORES DE AIRE DE LA PATRULLA CAMINERA - AD REFERENDUM AL PGN 2016 ;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Ministerio de Obras Públicas y Comunicaciones / Poder Ejecutivo;ADJ;Adjudicada;20/1/2016 09:00;tradicional;31/12/2015 00:00;30/12/2015 14:19;
302056-servicio-publicidad-1;302056-servicio-publicidad-1;302056-servicio-publicidad-1;;;302056;Servicio de Publicidad;CO - Concurso de Ofertas;8 - Publicidad y Propaganda;Industria Nacional del Cemento / Empresas Públicas;ADJ;Adjudicada;11/1/2016 10:00;tradicional;31/1/2016 00:00;30/12/2015 14:15;
301714-servicios-tecnicos-profesionales-instalacion-ruter-mantenimiento-ad-referendum-1;301714-servicios-tecnicos-profesionales-construccion-red-fibra-optica-ad-referendum-1;301714-servicios-tecnicos-profesionales-construccion-red-fibra-optica-ad-referendum-1;;;301714;Servicios Técnicos y Profesionales - Construcción de Red de Fibra Óptica - Ad Referéndum;CD - Contratación Directa;7 - Servicios Técnicos;Secretaria Nacional Anticorrupcion / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;7/1/2016 08:00;tradicional;31/12/2015 00:00;30/12/2015 12:03;
287953-mantenimiento-reparacion-vehiculos-institucion;287953-mantenimiento-reparacion-vehiculos-institucion-1;287953-mantenimiento-reparacion-vehiculos-institucion-1;;;287953;MANTENIMIENTO Y REPARACION DE VEHICULOS DE LA INSTITUCION ;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Fondo Ganadero / Entidades Financieras Oficiales;ADJ;Adjudicada;15/1/2016 09:00;tradicional;31/12/2015 00:00;30/12/2015 11:59;
301372-locacion-inmueble-determinado-ad-referendum-1;301372-locacion-inmueble-determinado-ad-referendum-1;301372-locacion-inmueble-determinado-ad-referendum-1;;;301372;"LOCACION DE INMUEBLE DETERMINADO ""AD REFERENDUM""";LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Ministerio de Agricultura y Ganadería / Poder Ejecutivo;ADJ;Adjudicada;7/1/2016 08:00;tradicional;29/2/2016 00:00;30/12/2015 10:40;
301187-adquisicion-oxigeno-gases-medicinales-msp-bs-1;301187-adquisicion-oxigeno-gases-medicinales-msp-bs-1;301187-adquisicion-oxigeno-gases-medicinales-msp-bs-1;;;301187;ADQUISICION DE OXIGENO Y GASES MEDICINALES PARA EL MSP Y BS;LPN - Licitación Pública Nacional;16 - Productos quimicos;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;11/3/2016 09:50;tradicional;31/3/2016 00:00;30/12/2015 09:18;
301220-servicio-asistencia-medica-urgencia-lugar-trabajo-1;301220-servicio-asistencia-medica-urgencia-lugar-trabajo-1;301220-servicio-asistencia-medica-urgencia-lugar-trabajo-1;;;301220;Servicio de asistencia medica de urgencia en el lugar de trabajo;CD - Contratación Directa;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Facultad de Odontologia / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;7/1/2016 09:00;tradicional;30/4/2016 00:00;30/12/2015 09:00;
292714-reparacion-modulos-equipos-conmutacion-centrales-ewsd-1;292714-reparacion-modulos-equipos-conmutacion-centrales-ewsd-ad-referendum-1;292714-reparacion-modulos-equipos-conmutacion-centrales-ewsd-ad-referendum-1;;;292714;REPARACIÓN DE MÓDULOS DE EQUIPOS DE CONMUTACIÓN CENTRALES EWSD - AD REFERÉNDUM;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado;ADJ;Adjudicada;27/1/2016 09:00;tradicional;31/12/2015 00:00;30/12/2015 08:49;
301989-seguro-edificios-vehiculos-congreso-nacional-1;301989-seguro-edificios-vehiculos-congreso-nacional-1;301989-seguro-edificios-vehiculos-congreso-nacional-1;;;301989;Seguro de edificios y vehículos del Congreso Nacional;CO - Concurso de Ofertas;6 - Seguros;Congreso Nacional / Poder Legislativo;ADJ;Adjudicada;14/1/2016 09:00;tradicional;31/1/2016 00:00;29/12/2015 16:33;
301919-adquisicion-bolsas-plasticas-direccion-registro-automotores-ad-referendum-1;301919-adquisicion-bolsas-plasticas-direccion-registro-automotores-ad-referendum-1;301919-adquisicion-bolsas-plasticas-direccion-registro-automotores-ad-referendum-1;;;301919;?ADQUISICIÓN DE BOLSAS PLÁSTICAS PARA LA DIRECCIÓN DEL REGISTRO DE AUTOMOTORES ? AD REFERÉNDUM? ;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Corte Suprema de Justicia / Poder Judicial;ADJ;Adjudicada;13/1/2016 11:15;tradicional;31/12/2015 00:00;29/12/2015 16:28;
284182-adquisicion-articulos-ferreteria-nivel-central-msp-bs;284182-adquisicion-articulos-ferreteria-nivel-central-msp-bs-1;284182-adquisicion-articulos-ferreteria-nivel-central-msp-bs-1;;;284182;ADQUISICION DE ARTÍCULOS DE FERRETERÍA PARA NIVEL CENTRAL DEL MSP Y BS;CO - Concurso de Ofertas;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;13/1/2016 09:20;tradicional;31/12/2015 00:00;29/12/2015 16:23;
302008-adquisicion-compustible-1;302008-adquisicion-compustible-1;302008-adquisicion-compustible-1;;;302008;Adquisición de Compustible;CO - Concurso de Ofertas;15 - Combustibles y Lubricantes;Municipalidad de Katuete / Municipalidades;ADJ;Adjudicada;11/1/2016 09:00;tradicional;31/12/2015 00:00;29/12/2015 15:53;
288280-servicio-monitoreo-alarma-oficina-regional-pedro-juan-caballero-fondo-gana;288280-servicio-monitoreo-alarma-oficina-regional-pedro-juan-caballero-fondo-ganadero-ad-re-1;288280-servicio-monitoreo-alarma-oficina-regional-pedro-juan-caballero-fondo-ganadero-ad-re-1;;;288280;SERVICIO DE MONITOREO DE ALARMA PARA LA OFICINA REGIONAL DE PEDRO JUAN CABALLERO DEL FONDO GANADERO - AD REFERENDUM;CD - Contratación Directa;25 - Equipos Militares y de Seguridad. Servicio de Seguridad y Vigilancia;Fondo Ganadero / Entidades Financieras Oficiales;ADJ;Adjudicada;11/1/2016 10:00;tradicional;30/11/2015 00:00;29/12/2015 14:30;
;;302104-servicios-asesoramiento-legal-tribunales-ciudad-nueva-york-estados-unidos-america-1;;;302104;Servicios de asesoramiento legal ante los tribunales de la ciudad de Nueva York, Estados Unidos de América;CE - Contratación por Excepción;7 - Servicios Técnicos;Procuraduria General de la Republica / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;18/12/2015 12:00;licitacion_sin_difusion;31/12/2015 00:00;29/12/2015 14:13;
301676-adquisicion-muebles-enseres-pac-ad-referendum-1;301676-adquisicion-muebles-enseres-pac-ad-referendum-1;301676-adquisicion-muebles-enseres-pac-ad-referendum-1;;;301676;ADQUISICIÓN DE MUEBLES Y ENSERES - PAC AD REFERÉNDUM;CD - Contratación Directa;23 - Muebles y Enseres;Universidad Nacional de Concepción / Universidades Nacionales;ADJ;Adjudicada;27/1/2016 09:45;tradicional;31/1/2016 00:00;29/12/2015 09:53;
301409-reparacion-aula-esc-bas-4006-san-juan-bautista-1;301409-reparacion-aula-esc-bas-4006-san-juan-bautista-1;301409-reparacion-aula-esc-bas-4006-san-juan-bautista-1;;;301409;Reparación de aula en la Esc. Bas. 4006 San Juan Bautista ;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Cambyretá / Municipalidades;ADJ;Adjudicada;13/1/2016 09:45;tradicional;31/1/2016 00:00;29/12/2015 07:52;
301808-servicios-hoteleria-secretaria-nacional-cultura-1;301808-servicios-hoteleria-secretaria-nacional-cultura-1;301808-servicios-hoteleria-secretaria-nacional-cultura-1;;;301808;Servicios de Hotelería - Secretaría Nacional de Cultura;CO - Concurso de Ofertas;9 - Servicios de ceremonial, gastronomico y funerarios;Secretaria Nacional de Cultura / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;12/1/2016 09:00;tradicional;31/1/2016 00:00;29/12/2015 07:46;
;;301268-adquisicion-reactivos-e-insumos-hospitales-especializados-stock-critico-1;;;301268;ADQUISICION DE REACTIVOS E INSUMOS PARA HOSPITALES ESPECIALIZADOS STOCK CRITICO;CE - Contratación por Excepción;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;27/11/2015 12:00;licitacion_sin_difusion;30/11/2015 00:00;28/12/2015 17:29;
;;280538-adquisicion-insumos-cardiocirugia-hemodinamia-stent-contraste-radiologico-e-insumos-1;;;280538;ADQUISICION DE INSUMOS PARA CARDIOCIRUGIA, HEMODINAMIA, STENT, CONTRASTE RADIOLOGICO E INSUMOS VARIOS PARA EL HOSPITAL SAN JORGE;CE - Contratación por Excepción;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;18/8/2014 12:00;licitacion_sin_difusion;30/9/2014 00:00;28/12/2015 17:28;
;;301211-adquisicion-urgencia-impostergable-productos-carnicos-hospital-clinicas-1;;;301211;ADQUISICION POR URGENCIA IMPOSTERGABLE DE PRODUCTOS CARNICOS PARA EL HOSPITAL DE CLINICAS;CE - Contratación por Excepción;14 - Productos Alimenticios;Facultad de Ciencias Medicas / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;17/11/2015 09:15;licitacion_sin_difusion;31/12/2015 00:00;28/12/2015 17:26;
;;300756-ampliacion-red-agua-potable-comunidad-san-blas-asentamiento-mbocaya-poty-ayolas-1;;;300756;Ampliación de red de agua potable para la comunidad San Blas del Asentamiento Mbocaya Poty de Ayolas;CE - Contratación por Excepción;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Ayolas / Municipalidades;ADJ;Adjudicada;6/11/2015 08:30;licitacion_sin_difusion;31/10/2015 00:00;28/12/2015 17:24;
301908-adquisicion-pasajes-aereos-ad-referendum-2016-1;301908-adquisicion-pasajes-aereos-ad-referendum-2016-1;301908-adquisicion-pasajes-aereos-ad-referendum-2016-1;;;301908;ADQUISICION DE PASAJES AEREOS - AD REFERENDUM 2016;CD - Contratación Directa;1 - Pasajes y Transportes;Instituto Paraguayo del Indígena / Entes Autónomos y Autárquicos;ADJ;Adjudicada;11/1/2016 08:00;tradicional;31/12/2015 00:00;28/12/2015 16:02;
301687-mantenimiento-reparacion-servidores-soporte-sistemas-subsecretaria-estado-tributacio-1;301687-mantenimiento-reparacion-servidores-soporte-sistemas-subsecretaria-estado-tributacio-1;301687-mantenimiento-reparacion-servidores-soporte-sistemas-subsecretaria-estado-tributacio-1;;;301687;MANTENIMIENTO Y REPARACIÓN DE SERVIDORES SOPORTE DE LOS SISTEMAS DE LA SUBSECRETARÍA DE ESTADO DE TRIBUTACIÓN DEL MINISTERIO DE HACIENDA;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Dirección Nacional de Ingresos Tributarios / Entes Autónomos y Autárquicos;ADJ;Adjudicada;22/1/2016 10:00;tradicional;31/12/2015 00:00;28/12/2015 15:25;
301161-servicio-limpieza-edificio-1;301161-servicio-limpieza-edificio-1;301161-servicio-limpieza-edificio-1;;;301161;Servicio de limpieza de edificio;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Facultad de Odontologia / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;6/1/2016 11:00;tradicional;31/3/2016 00:00;28/12/2015 15:08;
289988-contratacion-servicios-mantenimiento-reparacion-generador-electrico;289988-contratacion-servicios-mantenimiento-reparacion-vehiculos-v-region-sanitaria-caaguaz-1;;;;289988;CONTRATACION DE SERVICIOS PARA MANTENIMIENTO Y REPARACIÓN DE VEHICULOS DE LA V REGION SANITARIA - CAAGUAZU;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;CAN;Anulada o Cancelada;11/1/2016 10:00;tradicional;29/2/2016 00:00;28/12/2015 15:01;
301197-adquisicion-combustible-ad-referendum-1;301197-adquisicion-combustible-ad-referendum-1;;;;301197;ADQUISICIÓN DE COMBUSTIBLE AD REFERENDUM;LPN - Licitación Pública Nacional;15 - Combustibles y Lubricantes;Municipalidad de Presidente Franco / Municipalidades;EVAL;En Evaluacion (Cerrada);25/1/2016 08:00;tradicional;30/11/2015 00:00;28/12/2015 14:02;
300170-servicio-ambulancia-guarderia-congreso-nacional-1;300170-servicio-ambulancia-guarderia-congreso-nacional-1;300170-servicio-ambulancia-guarderia-congreso-nacional-1;;;300170;Servicio de ambulancia para la Guarderia del Congreso Nacional;CD - Contratación Directa;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Congreso Nacional / Poder Legislativo;ADJ;Adjudicada;4/1/2016 10:00;tradicional;31/10/2015 00:00;28/12/2015 12:04;
302025-contratacion-servicios-limpieza-sede-central-regionales-snpp-ad-referendum-plurianua-1;302025-contratacion-servicios-limpieza-sede-central-regionales-snpp-ad-referendum-plurianua-1;302025-contratacion-servicios-limpieza-sede-central-regionales-snpp-ad-referendum-plurianua-1;;;302025;CONTRATACION DE SERVICIOS DE LIMPIEZA PARA SEDE CENTRAL Y REGIONALES DEL SNPP - AD REFERENDUM - PLURIANUAL;LPN - Licitación Pública Nacional;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Servicio Nacional de Promocion Profesional  / Ministerio de Trabajo, Empleo y Seguridad Social / Poder Ejecutivo;ADJ;Adjudicada;21/1/2016 08:00;tradicional;31/12/2016 00:00;28/12/2015 11:56;
301972-adquisicion-maquinarias-equipos-herramientas-1;301972-adquisicion-maquinarias-equipos-herramientas-1;301972-adquisicion-maquinarias-equipos-herramientas-1;;;301972;ADQUISICION DE MAQUINARIAS, EQUIPOS Y HERRAMIENTAS ;CD - Contratación Directa;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Ministerio Público - Fiscalía / Poder Judicial;ADJ;Adjudicada;25/1/2016 09:00;tradicional;31/12/2015 00:00;28/12/2015 09:38;
301192-adquisicion-alimentos-secretaria-nacional-ninez-adolescencia-1;301192-adquisicion-alimentos-secretaria-nacional-ninez-adolescencia-1;301192-adquisicion-alimentos-secretaria-nacional-ninez-adolescencia-1;;;301192;Adquisición de Alimentos para la Secretaria Nacional de la Niñez y la Adolescencia;LPN - Licitación Pública Nacional;14 - Productos Alimenticios;UOC Ministerio de la Niñez y la Adolescencia / Poder Ejecutivo;ADJ;Adjudicada;8/1/2016 08:00;tradicional;31/3/2016 00:00;28/12/2015 07:07;
301614-locac-inmueble-determinado-alquiler-estacionamientos-ad-referendum-1;301614-locac-inmueble-determinado-alquiler-estacionamientos-ad-referendum-1;301614-locac-inmueble-determinado-alquiler-estacionamientos-ad-referendum-1;;;301614;Locac Inmueble Determinado Alquiler de Estacionamientos Ad Referendum;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Sistema Nacional de Formación y Capacitación Laboral / Ministerio de Trabajo, Empleo y Seguridad Social / Poder Ejecutivo;ADJ;Adjudicada;5/1/2016 08:00;tradicional;31/1/2016 00:00;26/12/2015 11:10;
301780-contratacion-firma-certificadora-sistema-gestion-calidad-norma-iso-9001-2008-1;301780-contratacion-firma-certificadora-sistema-gestion-calidad-norma-iso-9001-2008-ad-refe-1;301780-contratacion-firma-certificadora-sistema-gestion-calidad-norma-iso-9001-2008-ad-refe-1;;;301780;CONTRATACION DE FIRMA CERTIFICADORA DEL SISTEMA DE GESTION DE CALIDAD BAJO LA NORMA ISO 9001:2008 - AD REFERENDUM-PLURIANUAL;CD - Contratación Directa;7 - Servicios Técnicos;Consejo de la Magistratura / Poder Judicial;ADJ;Adjudicada;18/1/2016 09:45;tradicional;31/12/2015 00:00;24/12/2015 12:04;
301571-adquisicion-equipos-informaticos-1;301571-adquisicion-equipos-informaticos-1;301571-adquisicion-equipos-informaticos-1;;;301571;ADQUISICION DE EQUIPOS INFORMATICOS;CO - Concurso de Ofertas;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Direccion Nacional de Transporte / Entes Autónomos y Autárquicos;ADJ;Adjudicada;28/1/2016 09:00;tradicional;31/12/2015 00:00;24/12/2015 11:56;
301047-adquisicion-materiales-electricos-servicios-generales-equipamientos-electricos-1;301047-adquisicion-materiales-electricos-servicios-generales-equipamientos-electricos-1;301047-adquisicion-materiales-electricos-servicios-generales-equipamientos-electricos-1;;;301047;Adquisición de Materiales electricos para Servicios Generales y Equipamientos electricos;CO - Concurso de Ofertas;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Empresa de Servicios Sanitarios del Paraguay / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado;ADJ;Adjudicada;21/1/2016 09:00;tradicional;31/12/2015 00:00;24/12/2015 11:56;
301806-adquisicion-pasajes-aereos-terrestres-secretaria-nacional-cultura-1;301806-adquisicion-pasajes-aereos-terrestres-secretaria-nacional-cultura-1;301806-adquisicion-pasajes-aereos-terrestres-secretaria-nacional-cultura-1;;;301806;Adquisición de Pasajes Aéreos y Terrestres - Secretaría Nacional de Cultura;CO - Concurso de Ofertas;1 - Pasajes y Transportes;Secretaria Nacional de Cultura / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;7/1/2016 09:00;tradicional;31/1/2016 00:00;24/12/2015 11:55;
301948-contratacion-empresa-servicios-limpieza-fumigacion-ad-referendum-1;301948-contratacion-empresa-servicios-limpieza-fumigacion-ad-referendum-1;301948-contratacion-empresa-servicios-limpieza-fumigacion-ad-referendum-1;;;301948;CONTRATACION DE EMPRESA PARA SERVICIOS DE LIMPIEZA Y FUMIGACION - AD REFERENDUM;CO - Concurso de Ofertas;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Gobierno Departamental de Presidente Hayes / Gobiernos Departamentales;ADJ;Adjudicada;8/1/2016 07:30;tradicional;31/12/2015 00:00;24/12/2015 11:51;
302079-alquiler-oficinas-unidad-ejecutora-prestamo-bid-2419-oc-pr-bid-ad-referendum-pgn-201-1;302079-alquiler-oficinas-unidad-ejecutora-prestamo-bid-2419-oc-pr-bid-ad-referendum-pgn-201-1;302079-alquiler-oficinas-unidad-ejecutora-prestamo-bid-2419-oc-pr-bid-ad-referendum-pgn-201-1;;;302079;ALQUILER DE OFICINAS PARA LA UNIDAD EJECUTORA DE PRESTAMO BID 2419/OC-PR Y BID - AD REFERENDUM AL PGN 2016 ;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Ministerio de Obras Públicas y Comunicaciones / Poder Ejecutivo;ADJ;Adjudicada;4/1/2016 10:30;tradicional;31/5/2016 00:00;24/12/2015 11:31;
301974-contratacion-empresa-servicios-seguridad-1;301974-contratacion-empresa-servicios-seguridad-1;301974-contratacion-empresa-servicios-seguridad-1;;;301974;CONTRATACIÓN DE EMPRESA PARA SERVICIOS DE SEGURIDAD;CO - Concurso de Ofertas;25 - Equipos Militares y de Seguridad. Servicio de Seguridad y Vigilancia;Gobierno Departamental de Presidente Hayes / Gobiernos Departamentales;ADJ;Adjudicada;4/1/2016 10:00;tradicional;31/12/2015 00:00;24/12/2015 11:28;
302034-locacion-inmueble-unidad-ejecutora-proyectos-gmans-ad-referendum-pgn-2016-1;302034-locacion-inmueble-unidad-ejecutora-proyectos-gmans-ad-referendum-pgn-2016-1;302034-locacion-inmueble-unidad-ejecutora-proyectos-gmans-ad-referendum-pgn-2016-1;;;302034;LOCACION DE INMUEBLE PARA LA UNIDAD EJECUTORA DE PROYECTOS GMANS - AD REFERENDUM AL PGN 2016;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Ministerio de Obras Públicas y Comunicaciones / Poder Ejecutivo;ADJ;Adjudicada;4/1/2016 09:30;tradicional;31/3/2016 00:00;24/12/2015 11:24;
302039-contratacion-servicio-mantenimiento-portones-barreras-1;302039-cd-15-2016-contratacion-servicio-mantenimiento-portones-barreras-ad-referendum-1;302039-cd-15-2016-contratacion-servicio-mantenimiento-portones-barreras-ad-referendum-1;;;302039;CD 15/2016 - CONTRATACION DEL SERVICIO DE MANTENIMIENTO DE PORTONES Y BARRERAS - AD REFERENDUM;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Banco Central del Paraguay / Banca Central del Estado;ADJ;Adjudicada;11/1/2016 10:00;tradicional;31/12/2015 00:00;24/12/2015 10:49;
301689-adquisicion-equipos-informaticos-pac-ad-referendum-1;301689-adquisicion-equipos-informaticos-pac-ad-referendum-1;301689-adquisicion-equipos-informaticos-pac-ad-referendum-1;;;301689;Adquisicion de Equipos Informaticos - Pac Ad Referendum;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Universidad Nacional de Concepción / Universidades Nacionales;ADJ;Adjudicada;26/1/2016 09:45;tradicional;31/1/2016 00:00;24/12/2015 10:40;
301135-alquileres-nuevos-fiscalias-area-metropolitana-1;301135-alquileres-nuevos-fiscalias-area-metropolitana-ad-referendun-1;301135-alquileres-nuevos-fiscalias-area-metropolitana-ad-referendun-1;;;301135;ALQUILERES NUEVOS PARA FISCALIAS - AREA METROPOLITANA - AD REFERENDUN;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Ministerio Público - Fiscalía / Poder Judicial;ADJ;Adjudicada;30/12/2015 08:00;tradicional;31/12/2015 00:00;24/12/2015 10:02;
301807-servicios-ceremonial-protocolo-secretaria-nacional-cultura-1;301807-servicios-ceremonial-protocolo-secretaria-nacional-cultura-1;301807-servicios-ceremonial-protocolo-secretaria-nacional-cultura-1;;;301807;Servicios de Ceremonial y Protocolo - Secretaría Nacional de Cultura;CO - Concurso de Ofertas;9 - Servicios de ceremonial, gastronomico y funerarios;Secretaria Nacional de Cultura / Presidencia de la República / Poder Ejecutivo;ADJ;Adjudicada;8/1/2016 11:00;tradicional;31/1/2016 00:00;24/12/2015 09:21;
302123-alquiler-local-asiento-dependencias-judiciales-administrativas-varias-1;302123-alquiler-local-asiento-dependencias-judiciales-administrativas-varias-1;302123-alquiler-local-asiento-dependencias-judiciales-administrativas-varias-1;;;302123;ALQUILER DE LOCAL PARA ASIENTO DE DEPENDENCIAS JUDICIALES Y ADMINISTRATIVAS VARIAS;LC - Locación de Inmuebles;3 - Adquisición y Locación de inmuebles. Alquiler de muebles;Corte Suprema de Justicia / Poder Judicial;ADJ;Adjudicada;30/12/2015 09:45;tradicional;31/12/2015 00:00;24/12/2015 09:11;
