planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
294631-adquisicion-baterias-parque-automotor;294631-adquisicion-baterias-parque-automotor-1;294631-adquisicion-baterias-parque-automotor-1;;;294631;ADQUISICION DE BATERIAS PARA EL PARQUE AUTOMOTOR ;CD - Contratación Directa;18 - Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas.;Petróleos Paraguayos / Empresas Públicas;ADJ;Adjudicada;20/8/2015 13:00;tradicional;30/4/2015 00:00;12/8/2015 18:56;
298200-adquisicion-muebles-enseres-1;298200-adquisicion-muebles-enseres-1;298200-adquisicion-muebles-enseres-1;;;298200;ADQUISICION DE MUEBLES Y ENSERES;CD - Contratación Directa;23 - Muebles y Enseres;Facultad de Arquitectura / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;27/8/2015 09:00;tradicional;31/7/2015 00:00;12/8/2015 17:55;
298041-adquisicion-textiles-1;298041-adquisicion-textiles-1;298041-adquisicion-textiles-1;;;298041;Adquisición de Textiles;CD - Contratación Directa;10 - Textiles, vestuarios y calzados;Ministerio de la Mujer / Poder Ejecutivo;ADJ;Adjudicada;28/8/2015 09:00;tradicional;31/7/2015 00:00;12/8/2015 17:50;
283854-contratacion-servicio-flete-terrestre-petropar;283854-contratacion-servicio-flete-terrestre-petropar-5,283854-contratacion-servicio-flete-terrestre-petropar-3,283854-contratacion-servicio-flete-terrestre-petropar-1;283854-contratacion-servicio-flete-terrestre-petropar-1;;;283854;CONTRATACION DE SERVICIO DE FLETE TERRESTRE PARA PETROPAR;LPN - Licitación Pública Nacional;1 - Pasajes y Transportes;Petróleos Paraguayos / Empresas Públicas;ADJ;Adjudicada;27/8/2015 08:00;tradicional;31/8/2015 00:00;12/8/2015 17:30;
297133-mantenimiento-preventivo-reparador-generador-1;297133-mantenimiento-preventivo-reparador-generador-1;297133-mantenimiento-preventivo-reparador-generador-1;;;297133;MANTENIMIENTO PREVENTIVO Y REPARADOR DEL GENERADOR;CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Corte Suprema de Justicia / Poder Judicial;ADJ;Adjudicada;31/8/2015 09:30;tradicional;31/7/2015 00:00;12/8/2015 17:10;
297363-cd-n-12-servicio-adecuacion-ventanas-atencion-publico-1;297363-cd-n-12-servicio-adecuacion-ventanas-atencion-publico-1;297363-cd-n-12-servicio-adecuacion-ventanas-atencion-publico-1;;;297363;"CD Nº 12 ""SERVICIO DE ADECUACION DE VENTANAS PARA ATENCION AL PUBLICO""";CD - Contratación Directa;2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos;Corte Suprema de Justicia / Poder Judicial;ADJ;Adjudicada;10/9/2015 09:30;tradicional;31/8/2015 00:00;12/8/2015 17:04;
296627-servicio-tv-cable-1;296627-servicio-tv-cable-1;296627-servicio-tv-cable-1;;;296627;SERVICIO DE TV POR CABLE ;CD - Contratación Directa;7 - Servicios Técnicos;Ministerio Público - Fiscalía / Poder Judicial;ADJ;Adjudicada;8/9/2015 10:00;tradicional;31/8/2015 00:00;12/8/2015 17:04;
287682-adquisicion-extintores;287682-adquisicion-extintores-1;287682-adquisicion-extintores-1;;;287682;Adquisicion de Extintores;CD - Contratación Directa;16 - Productos quimicos;Banco Nacional de Fomento  / Entidades Financieras Oficiales;ADJ;Adjudicada;4/9/2015 10:50;tradicional;30/6/2015 00:00;12/8/2015 17:03;
298001-construccion-ampliacion-puesto-salud-departamento-cordillera-1;298001-construccion-ampliacion-puesto-salud-departamento-cordillera-1;298001-construccion-ampliacion-puesto-salud-departamento-cordillera-1;;;298001;CONSTRUCCIÓN Y AMPLIACIÓN DE PUESTO DE SALUD EN EL DEPARTAMENTO DE CORDILLERA.;CO - Concurso de Ofertas;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Gobierno Departamental de Cordillera / Gobiernos Departamentales;ADJ;Adjudicada;7/9/2015 09:00;tradicional;31/7/2015 00:00;12/8/2015 17:03;
290627-actualizacion-mantenimiento-sistema-patrimonio;290627-actualizacion-mantenimiento-sistema-patrimonio-1;290627-actualizacion-mantenimiento-sistema-patrimonio-1;;;290627;ACTUALIZACIÓN Y MANTENIMIENTO DEL SISTEMA DE PATRIMONIO;CD - Contratación Directa;7 - Servicios Técnicos;Comisión Nacional de Telecomunicaciones / Entes Autónomos y Autárquicos;ADJ;Adjudicada;20/8/2015 08:45;tradicional;31/8/2015 00:00;12/8/2015 17:02;
285582-servicio-publicacion-periodicos;285582-cd-n-10-15-contratacion-servicios-publicaciones-prensa-escrita-contenido-institucion-1;285582-cd-n-10-15-contratacion-servicios-publicaciones-prensa-escrita-contenido-institucion-1;;;285582;CD Nº 10/15 CONTRATACION DE SERVICIOS PARA PUBLICACIONES EN PRENSA ESCRITA DE CONTENIDO INSTITUCIONAL DE LA ANNP;CD - Contratación Directa;8 - Publicidad y Propaganda;Administración Nacional de Navegación y Puertos  / Empresas Públicas;ADJ;Adjudicada;31/8/2015 09:00;tradicional;31/7/2015 00:00;12/8/2015 17:01;
298377-adquisicion-recarga-extintores-1;298377-adquisicion-recarga-extintores-1;298377-adquisicion-recarga-extintores-1;;;298377;ADQUISICION Y RECARGA DE EXTINTORES;CD - Contratación Directa;22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte;Ministerio de Trabajo, Empleo y Seguridad Social / Poder Ejecutivo;ADJ;Adjudicada;28/8/2015 08:00;tradicional;31/8/2015 00:00;12/8/2015 17:00;
289440-alquileres-stands-toldos-equipos-sonido-iluminacion-otros-eventos;289440-alquileres-stands-toldos-equipos-sonido-iluminacion-otros-eventos-3,289440-alquileres-stands-toldos-equipos-sonido-iluminacion-otros-eventos-1;289440-alquileres-stands-toldos-equipos-sonido-iluminacion-otros-eventos-1;;;289440;Alquileres de stands, toldos, equipos de sonido y de iluminaciòn, otros para eventos.;CO - Concurso de Ofertas;7 - Servicios Técnicos;Facultad Politecnica / Universidad Nacional de Asunción / Universidades Nacionales;ADJ;Adjudicada;24/8/2015 09:00;tradicional;31/7/2015 00:00;12/8/2015 16:57;
297564-consultoria-fiscalizacion-obras-construccion-local-propio-instituto-nacional-alimeta-1;297564-consultoria-fiscalizacion-obras-construccion-local-propio-instituto-nacional-alimeta-1;;;;297564;CONSULTORIA PARA FISCALIZACION DE OBRAS DE CONSTRUCCION DEL LOCAL PROPIO DEL INSTITUTO NACIONAL DE ALIMETACION Y NUTRICION;CO - Concurso de Ofertas;5 - Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;CAN;Anulada o Cancelada;18/9/2015 09:50;tradicional;30/6/2015 00:00;12/8/2015 16:54;
295728-adquisicion-alimentos-dependencias-msp-bs-s2-1;295728-adquisicion-alimentos-pacientes-personal-guardia-servicios-salud-red-msp-bs-s2s2-1;295728-adquisicion-alimentos-pacientes-personal-guardia-servicios-salud-red-msp-bs-s2s2-1;;;295728;ADQUISICION DE ALIMENTOS PARA PACIENTES Y PERSONAL DE GUARDIA DE LOS SERVICIOS DE SALUD DE LA RED DEL MSP Y BS-S2S2;LPN - Licitación Pública Nacional;14 - Productos Alimenticios;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;30/9/2015 09:50;tradicional;31/7/2015 00:00;12/8/2015 16:47;
298326-construccion-empedrado-1;298326-construccion-empedrados-1;298326-construccion-empedrados-1;;;298326;CONSTRUCCIÓN DE EMPEDRADOS;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Minga Porá / Municipalidades;ADJ;Adjudicada;19/8/2015 08:00;tradicional;31/7/2015 00:00;12/8/2015 16:45;
